Water storage area,Total capacity (ML),Current volume (ML)*,"capacityChangeBetweenDates",% full,Recorded rainfall (mm)
Thomson,1068000,1030740,1961,96.51,17.60
Cardinia,286911,219787,-1890,76.60,
"Upper Yarra",200579,144522,740,72.05,20.00
Sugarloaf,96253,92383,-957,95.97,
Tarago,37580,37893,14,100.00,
Silvan,40445,35891,746,88.74,
"Yan Yean",30266,27890,-52,92.14,
Greenvale,26839,22269,181,82.97,
Maroondah,22179,13928,261,62.79,16.00
"O'Shannassy",3123,3142,-39,100.00,46.00
Total,1812175,1628445,965,89.86,
